respond,gender,age,education,reslength,appreciation,facilities,relocation,house,environment,shops,culture,recreation
1,1,23,1,5,5,3,2,2,2,1,2,1
2,2,45,2,8,8,2,2,2,2,2,2,2
3,1,33,3,2,5,4,1,2,1,2,1,2
4,2,38,1,10,7,2,3,2,2,2,2,2
5,1,61,1,12,8,3,2,1,2,2,2,2
6,2,19,1,1,5,3,1,2,2,2,2,1
7,1,19,1,5,5,1,1,1,2,1,2,1
8,1,54,1,1,7,1,3,2,2,2,2,2
9,2,44,3,5,4,4,1,2,1,2,1,2
10,2,27,2,2,6,3,1,2,2,1,2,2
11,1,35,1,8,7,2,0,2,2,2,2,1
12,2,35,2,7,6,3,3,2,2,2,2,2
13,2,40,1,2,6,4,2,2,1,2,2,2
14,1,22,1,1,5,3,2,2,2,2,2,2
15,2,44,3,7,3,4,1,2,1,2,1,2
16,1,0,0,0,6,4,1,2,2,1,2,1
17,1,55,1,1,8,2,3,2,2,2,2,2
18,1,26,2,8,5,4,1,1,1,2,1,2
19,2,30,2,1,0,0,0,2,0,2,0,0
20,1,41,1,9,8,1,3,2,2,2,2,2
21,1,28,1,6,5,4,2,2,2,1,2,1
22,2,40,2,8,7,2,2,2,2,2,2,2
23,1,53,1,7,6,3,2,2,1,2,1,2
24,2,30,2,10,6,3,3,2,2,2,2,2
25,1,21,2,5,5,4,1,2,2,2,2,1
26,1,19,1,1,7,3,2,2,2,2,2,1
27,1,29,2,4,6,2,3,2,2,2,2,2
28,1,54,1,2,6,3,1,2,2,1,2,2
29,2,34,2,6,5,3,2,2,1,2,2,1
30,1,27,2,2,6,3,2,2,2,1,2,2
31,1,32,2,4,6,2,0,2,2,2,2,1
32,2,25,1,5,7,2,3,2,2,2,2,2
33,2,36,2,7,6,3,2,2,1,2,2,2
34,1,52,1,1,6,3,2,2,2,2,2,2
35,2,21,1,8,3,5,1,1,1,1,0,1
36,1,33,2,6,7,3,1,2,2,1,2,1
37,1,50,1,3,5,4,3,2,2,2,2,2
38,1,26,1,8,5,4,2,1,1,2,1,2
39,2,30,1,1,6,3,3,2,2,2,2,2
40,1,41,1,9,8,1,3,2,2,2,2,2
41,2,29,2,9,5,3,3,2,1,1,2,1
42,1,29,2,6,7,2,3,2,2,2,2,2
43,1,36,1,8,9,1,3,2,2,2,0,2
44,1,44,1,5,8,2,3,2,2,2,2,2
45,2,48,1,1,7,2,2,2,2,2,2,2
46,1,40,2,4,7,3,3,2,2,2,2,2
47,2,30,3,5,4,4,1,1,1,2,1,2
48,1,65,1,1,8,2,3,2,2,2,2,2
49,1,59,1,3,7,2,3,2,2,2,2,2
50,2,47,2,7,6,3,2,2,1,2,2,2
